4411;C;AGOUME;Inter;1
4465;C;FAGIOLI;Juventus;1
4370;C;PORTANOVA;Juventus;1
2243;C;CICIRETTI;Napoli;1
4364;C;GAETANO;Napoli;1
1875;C;MUNARI;Parma;1
2852;C;RICCARDI;Roma;1
4486;C;STREFEZZA;SPAL;1
4490;C;DE ANGELIS;Torino;1
4499;C;LUCAS FELIPPE;Verona;1
4436;A;CAMBIAGHI;Atalanta;1
4359;A;PICCOLI;Atalanta;1
4368;A;JUWARA;Bologna;1
606;A;THEREAU;Fiorentina;1
4463;A;ESPOSITO SE;Inter;1
2304;A;SALCEDO E;Verona;1
4387;A;ADORANTE;Parma;1
4483;A;CANGIANO;Bologna;1
4508;A;BAHLOULI;Sampdoria;1
4371;A;RASPADORI;Sassuolo;1
4346;A;MILLICO;Torino;1
4489;A;RAUTI;Torino;1
767;A;TUPTA;Verona;1
